"Organisation ID","Organisation name",Website,"Short description","Long description",Country,Region,Latitude,Longitude,Address,"Organisation type","Organisation size","Start date","Linked project IDs",Tags,"Network tags",Created
340,"IZA World of Labor",,,,Germany,Bonn,50.735851,7.10066,"Schaumburg-Lippe-Strasse 5-9,
53113","Academia/Research organisation","6-10 people",,71,,,1970-01-01
640,Jaakko.Panula.net,,,,,,,,",
",,,,,,,1970-01-01
850,"Jednota skolskych informatiku (Union of Informaticians in Education)",,,,"Czech Republic",Prague,50.0874654,14.4212503,"Alzirska,
16000","Grassroots organisation or community network","0-5 people",,468,,,1970-01-01
821,"Join In",,,,"United Kingdom",London,51.5073219,-0.1276473,"31a Clerkenwell Close,
EC1R 0AT","Social enterprise, charity, foundation or other non-profit","11-25 people",,501,,,1970-01-01
608,JOLOCOM,,,,,,,,",
",,,,,,,1970-01-01
761,Jozian,,,,"United Kingdom",Hayle,50.1871402,-5.4178168,"13-15 Commercial Road,
TR27 4DE","For-profit business","0-5 people",,,,,1970-01-01
1012,"Junta de Andalucia",,,,Spain,SEvilla,37.3886303,-5.995317,"Johannes Kepler,
41092","Government/Public Sector","over-1000 people",,,,,1970-01-01
617,"Just a Cup of Coffee",,,,Netherlands,Groningen,53.2217925,6.5582453,"Grote Markt 1,
9712 HN",,,,,,,1970-01-01
79,"Just Fashion",,,,Norway,Oslo,59.9132694,10.7391112,"Teglverksgata 11,
","For-profit business","0-5 people",,138,,,1970-01-01
573,"Justice lab",,,,"United Kingdom",London,51.5073219,-0.1276473,"Petty France,
SW1H 9AJ",,,,,,,1970-01-01
53,"Kade Social Ventures",,,,"United States",Cleveland,41.5051613,-81.6934445,"1661 Hillcrest Rd,
44118",,,,,,,1970-01-01
101,"Kaini Industries",,,,"United Kingdom","Kingston Upon Hull",53.7435722,-0.3394757,"o Studio 60, 266 Wincolmlee,
HU2 0PZ","Social enterprise, charity, foundation or other non-profit","0-5 people",,86,,,1970-01-01
1162,KAIST,,,,"Korea, Republic of",Daejeon,36.3326329,127.3845762,"KAIST,
315741","Academia/Research organisation",,,,,,1970-01-01
177,"Kall services",,,,Italy,ROME,41.8523337,12.6308542,"Via Rangoni 3,
148",,,,,,,1970-01-01
288,"Kaunas Technical University",,,,Lithuania,Kaunas,54.8982139,23.9044817,"K. Donelaicio str. 20 - 312,
LT44239",,,,174,,,1970-01-01
845,"Kendra Initiative",,,,"United Kingdom",London,51.5073219,-0.1276473,"London,
","Social enterprise, charity, foundation or other non-profit","0-5 people",,,,,1970-01-01
462,Kennisland,,,,,,,,",
",,,,,,,1970-01-01
1036,"Key Fund Investments Ltd",,,,"United Kingdom",Sheffield,53.3806626,-1.4702277,"G2 Leeds Rd,
S9 3TY","Social enterprise, charity, foundation or other non-profit","11-25 people",,,,,1970-01-01
663,khonex,,,,,,,,",
",,,,,,,1970-01-01
632,Kiemkracht,,,,Netherlands,"The Hague",52.0799838,4.3113461,"Fultonstreet 6,
2562 XH","Grassroots organisation or community network","0-5 people",,47,,,1970-01-01
254,Knowman,,,,Portugal,Coimbra,40.2109801,-8.4292056,"R Jose Gomes Ferreira,
3020","For-profit business","0-5 people",,706,,,1970-01-01
1062,"KODIME Ltd",,,,"United Kingdom",Guildford,51.237195,-0.5811778,"8 North Street,
GU1 4AF","For-profit business","6-10 people",,406,,,1970-01-01
1124,Kolba,,,,Armenia,Yerevan,40.1776121,44.5125849,"14 Petros Adamyan Street,
","Government/Public Sector","0-5 people",,575,,,1970-01-01
752,Konnektid,,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Haarlemmerweg 10C,
1014 BE","For-profit business","6-10 people",,85,,,1970-01-01
1231,"Kosovo Architecture Foundation",http://www.prishtinaarchitectureweek.com,,"<p>Kosovo Architecture Foundation is a non for profit foundation based in Prishtina, Kosovo. Its main focus is improving the lives of the community through architecture, design, urban planning and technology. KAF is the organizer of the Prishtina Architecture Week &amp; Kosovo Architecture Festival as well as the founder of the Office for Urban Regeneration in Kosovo.&nbsp;</p>
<p>KAF is currently implementing the ""Right to Social Housing and Public Space"" in 5 Kosovo municipalities and has developed together with Frakton a smart phone app ""Raporto-Banimi dhe Hapesira"" that enables citizens to report any misuse of public space or social housing in their city. banimidhehapesira.com + housingandspace.com</p>",Albania,Prishtina,41.3350459,19.492836,,"Social enterprise, charity, foundation or other non-profit","11-25 people",2012-01-01,819,"community, cooperative housing, Cultural, Cultural Heritage, democracy, Design research, disadvantaged youth, education, hybrid space, inclusion, interdisciplinarity, Non-profit, social innovation, voluntary","future architecture platform",2017-01-18
543,"KREATER Social Innovation Agency",,,,Hungary,Budapest,47.4983815,19.0404707,"Raoul Wallenberg 11.,
1136","For-profit business","6-10 people",,"47, 261, 273, 509, 575",,,1970-01-01
687,KTH,,,,Sweden,Stockholm,59.3251172,18.0710935,"Lindstedtsv. 3,
SE-10044","Academia/Research organisation","51-100 people",,93,,,1970-01-01
641,Kuorum.org,,,,Spain,Madrid,40.4167047,-3.7035824,"Calle Valverde 29,
28004","Social enterprise, charity, foundation or other non-profit","6-10 people",,,,,1970-01-01
452,"l'incubateur du CENTQUATRE",,,,France,Paris,48.8566101,2.3514992,"104, rue d'Aubervilliers,
75019","Government/Public Sector","0-5 people",,,,,1970-01-01
700,"la B@se",,,,France,valence,44.9332277,4.8920811,"8 rue baudin,
26000","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
566,"La Cuisine",,,,France,Paris,48.8566101,2.3514992,"38, rue des Amandiers,
75020","Grassroots organisation or community network","0-5 people",,227,,,1970-01-01
496,"La Fonderie",,,,France,Paris,48.8566101,2.3514992,"11 rue de Cambrai (batiment 28 - 6e etage),
75019","Government/Public Sector","11-25 people",,189,,,1970-01-01
823,"La Muse en Circuit",,,,France,ALFORTVILLE,48.7928634,2.4277061,"18 RUE MARCELIN BERTHELOT,
94140","Government/Public Sector","6-10 people",,390,,,1970-01-01
31,"La Paillasse",,,,France,Paris,48.8566101,2.3514992,"226 rue Saint-Denis,
75002","Grassroots organisation or community network","11-25 people",,25,,,1970-01-01
207,"La Quadrature du Net",,,,,,,,",
",,,,,,,1970-01-01
995,"Laboratoire d'Ingenierie d'Idees",,,,France,Paris,48.8566101,2.3514992,"15 rue Hegesippe Moreau,
75018","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
154,LabourStart,,,,"United Kingdom",London,51.5073219,-0.1276473,"27 Muswell Hill Place,
N10 3RP","Grassroots organisation or community network","0-5 people",,640,,,1970-01-01
869,"Lancaster University",,,,"United Kingdom",Lancaster,54.0484068,-2.7990344,"Infolab,
LA1 4YN","Academia/Research organisation","over-1000 people",,"80, 810",,,1970-01-01
279,Landshare,,,,"United Kingdom",Oxford,51.7520131,-1.2578498,"63 Lonsdale Road,
OX2 7ES","Social enterprise, charity, foundation or other non-profit","6-10 people",,139,,,1970-01-01
561,"Language Landscape",,,,"United Kingdom","Colney Hatch Lane",51.5997241,-0.147438,"5 Dorchester Court,
N10 1BU","Academia/Research organisation","0-5 people",,265,,,1970-01-01
919,"LC Logistics Center",,,,Finland,Kauhajoki,62.431748,22.1841988,"Teknologiapuisto 1,
61800","For-profit business","6-10 people",,726,,,1970-01-01
325,"Le Cicogne",,,,Italy,ROME,41.8523337,12.6308542,"Via Giovanni Giolitti 34,
185","For-profit business","0-5 people",,211,,,1970-01-01
549,"Le Garage  by Alcatel-Lucent Bell Labs France",,,,France,Nozay,47.5647285,-1.6254719,"Route de Villejust,
91620","For-profit business","0-5 people",,442,,,1970-01-01
22,"Leading Edge Only",,,,"United Kingdom",Cranfield,52.0690205,-0.6079316,"Cranfield University,
MK43 0AL","For-profit business","11-25 people",,578,,,1970-01-01
825,Leapfunder,,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Nieuwe Teertuinen 16c,
1013LV",,,,,,,1970-01-01
851,"Learner-Generated Contexts Research Group",,,,"United Kingdom",London,51.5073219,-0.1276473,"23-29 Emerald Street,
WC1N 3QS","Academia/Research organisation","26-50 people",,"13, 185",,,1970-01-01
931,LEDEN,,,,France,"La Plaine Saint-Denis",48.9182399,2.3624012,"20, avenue George Sand,
93210",,,,,,,1970-01-01
1223,"Leibniz Institute of Freshwater Ecology and Inland Fisheries",http://www.igb-berlin.de/,"Research for the future of our freshwaters","<p>The Leibniz-Institute of Freshwater Ecology and Inland Fisheries (IGB) is a creative, lively and diverse place for conducting research and teaching. Scientists from a whole range of disciplines work under one roof. Hydrologists, chemists, physicists, microbiologists, limnologists, fish ecologists and fisheries biologists from all over the world investigate the fundamental processes governing rivers, lakes and wetlands, and join forces to develop measures conductive to sustainable water management. In the process, we think beyond individual disciplines and spatial boundaries. After all, it will only be possible to develop solutions to the major challenges of the future by taking an integrative research approach.</p>
<p>It is our mission to generate objective and evidence-based knowledge for the preservation and management of freshwaters, and to make this knowledge publicly available. In collaboration with our partners from research, policy, industrial practice and civil society, we develop responses and recommendations for action for pressing environmental issues and support decision-making processes at the local, national and international level. In the context of innovative development programmes and transdisciplinary cooperation models, we give fresh momentum to research, teaching, application and participation. Our objective is to unite scientific freedom and substantive excellence with social responsibility and effectiveness, making a double impact.</p>",Germany,Berlin,52.5170365,13.3888599,,"Academia/Research organisation","101-500 people",1992-01-01,807,"biodiversity, freshwater ecology, freshwater fisheries, science on inland waters, water use and management",,2017-01-03
453,"LENS Living Lab",,,,Slovenia,Celje,46.2309234,15.2659932,"Kidriceva 25,
3000","Grassroots organisation or community network","0-5 people",,"66, 368",,,1970-01-01
1206,"Les Bricodeurs",http://lesbricodeurs.fr,"Civic Design & Tech Tank",,France,Lyon,45.7578137,4.8320114,,"Social enterprise, charity, foundation or other non-profit","101-500 people",2014-12-01,,"civic tech, digital design, education, tech for good",,2016-11-21
1229,"Liberté Living-Lab",http://liberte.paris,"We are a new collaborative workspace for tech, civic & social innovation. Our ambition is to accelerate projects addressing key societal challenges",,France,Paris,48.8566101,2.3514992,,"Social enterprise, charity, foundation or other non-profit","11-25 people",2016-10-18,,"civic tech, Digital Social Innovation, education, hybrid space, Innovation, open data, open innovation, social innovation","tech for good",2017-01-16
471,Libertic,,,,,,,,",
",,,,,,,1970-01-01
406,Liferay,,,,"United Kingdom",London,51.5073219,-0.1276473,"45 Moorfields,
ec2y 9ae","For-profit business","101-500 people",,,,,1970-01-01
728,"Lift Events",http://liftconference.com/,,,Switzerland,Geneva,46.2017559,6.1466014,"Quai du Seujet 18,
1201","Grassroots organisation or community network","0-5 people",2006-01-01,"603, 752",,,1970-01-01
1245,"LIN - Léman Innovation Numérique",http://LEMAN.InnovationNumerique.org,"Léman Innovation Numérique est une large communauté pluridisciplinaire qui rassemble des acteurs de l'innovation ouverte dans la région.","<p style=""margin: 0in;""><span style=""font-weight: bold; font-family: 'Helvetica Neue'; font-size: 10.5pt; color: #333333; background: white;"">L&eacute;man Innovation Num&eacute;rique</span><span style=""font-family: Calibri; font-size: 11.0pt;"">&nbsp;est une large communaut&eacute; pluridisciplinaire qui rassemble des acteurs de l'innovation ouverte dans la r&eacute;gion. Il propose un partage d'id&eacute;es, de projets, de solutions et de meilleures pratiques dans le monde des innovations num&eacute;riques, avec une orientation durable et responsable. Cette communaut&eacute; informelle permet aux acteurs de collaborer, de s'entraider avec bienveillance, de monter collectivement en comp&eacute;tences et de devenir plus visibles.</span></p>",Switzerland,Geneva,46.2017559,6.1466014,,"Grassroots organisation or community network","101-500 people",2016-11-08,,"fablab, Innovation, interdisciplinarity, makers, social innovation, Thinktank","FabLab Network, netsquared, Social Innovation Community, Swiss FabLab Network, tech for good",2017-02-11
1027,LinkedAge,,,,Slovenia,Ljubljana,46.049865,14.5068921,"Tehnoloski park 17,
1000","For-profit business","0-5 people",,633,,,1970-01-01
736,listAbierta.org,,,,Spain,Seville,37.3886303,-5.995317,"Evangelista 35, 3C,
41010","Grassroots organisation or community network","0-5 people",,197,,,1970-01-01
904,"Living Enterprise, Inc.",,,,"United States",Waban,42.3269137,-71.230224,"192 Woodward Street,
2468","For-profit business","0-5 people",,,,,1970-01-01
208,"Living IT Lab",,,,Denmark,Copenhagen,55.6867243,12.5700724,"Hejrevej 30, 1. sal,
2400","Social enterprise, charity, foundation or other non-profit","0-5 people",,"353, 554",,,1970-01-01
980,"Living Lab ActivAgeing",,,,France,TROYES,48.2971626,4.0746257,"12 rue Marie Curie,
10000","Academia/Research organisation","6-10 people",,235,,,1970-01-01
209,LivioTeam,,,,Germany,Munich,48.1371079,11.5753822,"Ehrengustr. 23,
80469","Social enterprise, charity, foundation or other non-profit","0-5 people",,,,,1970-01-01
759,"Lizardeals srls",,,,Italy,ROME,41.8523337,12.6308542,"vicolo delle Capannelle 29,
178","For-profit business","0-5 people",,131,,,1970-01-01
1102,"Locales Fiestas Privadas Barcelona",,,,Spain,Barcelona,41.3825596,2.1771353,"Carrer Matanzas, 22, Local B,
8027","For-profit business","0-5 people",,507,,,1970-01-01
530,Localocity,,,,"United Kingdom",Twickenham,51.4467941,-0.3283388,"St Peters Road,
TW1 1QY",,,,,,,1970-01-01
241,locativeaudio,,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"Bridgeford Street,
M13 9PL","Academia/Research organisation","0-5 people",,314,,,1970-01-01
1081,lombasdia,,,,Spain,"villanueva del pardillo",40.4949232,-3.9600064,"rio alberche, 4 estudio 5,
28229","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
1259,"London Dermatology Centre",http://www.london-dermatology-centre.co.uk/,"The London Dermatology Centre is a leading private dermatology clinic located in central London.","<p>The clinic is one of the most established private skin treatment clinics in the UK and offers both the treatment of medical skin conditions and aesthetic treatments.</p>
<p>Our Clinic is proud to work with some of the UK&rsquo;s best dermatologists. Our consultants are committed to providing each patient with the specialised care that their condition requires.</p>","United Kingdom",London,51.5073219,-0.1276473,,"For-profit business","26-50 people",2005-02-10,,"skin clinic, dermatology clinic",,2017-02-23
1258,"London Medical and Aesthetic Clinic",http://www.lmaclinic.com/,"The London Medical and Aesthetic Clinic at 1 Harley Street, London is one of the UK leader clinics in non-invasive, minimally invasive and cosmetic surgery procedures including Smart Lipo Laser Lipolysis, Laser hair removal, Breast enlargements, Laser skin rejuvenation and Laser for varicose veins.","<p>LMA clinic is one of the leading clinics in London, offering a wide range of non-surgical cosmetic procedures, cosmetic surgery, Smartlipo laser lipolysis, latest laser hair removal treatments, as well as more traditional plastic surgery. In addition, we specialise in non-aesthetic medical and surgical services.</p>","United Kingdom",London,51.5073219,-0.1276473,,"For-profit business","26-50 people",,,"liposuction clinic, aesthetic clinic",,2017-02-23
551,"Lucerne University of Applied Sciences and Arts - iHomeLab",,,,Switzerland,Lucerne,47.0505452,8.3054682,"Technikumstrasse 21,
6048","Academia/Research organisation","501-1000 people",,410,,,1970-01-01
1171,Lunaria,,,,,,,,",
",,,,,,,1970-01-01
152,"Lund University",,,,Sweden,Lund,55.7029296,13.1929449,"Scheelevagen 15A,
26333",,,,219,,,1970-01-01
910,Lynx,,,,Italy,ROME,41.8523337,12.6308542,"via dei Sabelli,
","For-profit business","6-10 people",,585,,,1970-01-01
191,Macc,,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"20 Swan St,
M4 5JW","Social enterprise, charity, foundation or other non-profit","11-25 people",,,,,1970-01-01
1198,"Machines Room",http://machinesroom.org,,"<p><span style=""font-weight: 400;"">MACHINES ROOM is East London&rsquo;s Impact makerspace. Situated at the heart of the Maker Mile, a thriving hub of art, design and creative technology, we are open to the public and businesses to come and fabricate their ideas using a full range of machines and workshops for processes such as CNC, laser cutting &amp; 3D printing. </span></p>
<p><span style=""font-weight: 400;"">Our programme explores critical making and positive futures, particularly concepts such as Open Making, Open Source, Sharing Economy &amp; Circular Economy. We support makers who have a positive social or environmental impact and our vision is to bring the maker community together to create a more sustainable way of city living. We incubate fledgling businesses who are innovating in social or environmental impact.</span></p>",,,,,,"For-profit business","0-5 people",,,"community, Digital Social Innovation, makers, Social Enterprenuership, Social Good, tech, tech for good",,1970-01-01
634,"MAD emergent art center",,,,Netherlands,Eindhoven,51.448557,5.4501225,"postbus 6118,
5600hc","Social enterprise, charity, foundation or other non-profit","6-10 people",,347,,,1970-01-01
1252,"MADE Makerspace",http://made-bcn.org,,"<p>MADE es un espacio flexible creado para que artistas, dise&ntilde;adores, inventores, emprendedores, creativos, ingenieros, makers, fabbers y hackers puedan desarrollar sus propios proyectos.</p>
<p><img src=""http://made-bcn.org/wp-content/uploads/2015/11/IMG_20151113_194530-460x259.jpg"" alt=""Main workshop area"" width=""460"" height=""259"" /></p>
<p>Est&aacute; organizado para facilitar el desarrollo de una comunidad abierta de aprendizaje distribuido, co-producci&oacute;n y actividades de emprendimiento.</p>
<p><img src=""http://made-bcn.org/wp-content/uploads/2015/11/IMG_20151113_192251-460x259.jpg"" /></p>
<p>Somos registrados como asociacion cultural en la ciudad de Barcelona, gestionada democraticamente por voluntarios y enteramente no-profit.</p>
<p><img src=""http://made-bcn.org/wp-content/uploads/2015/11/IMG_20151113_195331-460x259.jpg"" /></p>
<p>&nbsp;</p>",Spain,Barcelona,41.3825596,2.1771353,,"Social enterprise, charity, foundation or other non-profit","26-50 people",2013-05-12,,"3dprint, arduino, community, digital fabrication, DIY networking, fablab, makers, not-for-profit",,2017-02-17
888,"Made Open",,,,"United Kingdom",Penryn,50.1685495,-5.1034062,"Studio J, Jubilee Warehouse, Commercial Rd,
TR10 8AE","For-profit business","6-10 people",,,,,1970-01-01
271,Madeira-ITI,,,,Portugal,Funchal,32.6496497,-16.9086782,"Caminho da Penteada,
9020-105","Academia/Research organisation","26-50 people",,181,,,1970-01-01
227,MadLab,,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"36-40 Edge Street,
M4 1HN","Social enterprise, charity, foundation or other non-profit","6-10 people",,102,,,1970-01-01
1065,"Magenta srl",,,,Italy,Firenze,43.7698712,11.2555757,"Via Bernardo Pasquini 6,
50127","For-profit business","6-10 people",,,,,1970-01-01
592,"Maison Regionale de l'Environnement et des Solidarites",,,,France,Lille,50.6305089,3.0706414,"23 rue Gosselet,
59000","Social enterprise, charity, foundation or other non-profit","11-25 people",,114,,,1970-01-01
374,"Maker Electronics Ireland",,,,Ireland,Dublin,53.3497645,-6.2602731,"Steambox, School Street,
Dublin","For-profit business","0-5 people",,298,,,1970-01-01
693,MakerConvent,,,,Spain,Barcelona,41.3825596,2.1771353,"Comerc, 36,
8003","Grassroots organisation or community network","0-5 people",,"41, 240",,,1970-01-01
1211,Makerversity,http://makerversity.org/,"An international community of pioneering maker businesses.","<div data-canvas-width=""398.80558857979497"">We build and run awesome spaces for professional makers, which combine co-working space with clean and messy workshop space, machines and tools. Really what we&rsquo;re&nbsp;doing isn&rsquo;t about the space though, it&rsquo;s about people.&nbsp;Through our spaces we bring together people with all kinds of creative and technical expertise. Our members work&nbsp;together, play together and inspire each other.</div>
<div data-canvas-width=""316.5596881405564"">&nbsp;</div>
<div data-canvas-width=""384.9907862371889"">We run learning programmes for young people to inspire&nbsp;the next generation of creative and practical minds and&nbsp;increase the diversity within the creative industries. All&nbsp;Makerversity members have the opportunity to play an&nbsp;active part in these programmes and are encouraged to&nbsp;pass on their experiences and expertise to others.</div>","United Kingdom",London,51.5073219,-0.1276473,,"For-profit business","6-10 people",,,"3dprint, Creative, Creative technology, digital fabrication, education, England, Innovation, interdisciplinarity, learning, makers, UK",,2016-11-29
82,"Making All Voices Count",,,,"South Africa",Johannesburg,-26.2049999,28.049722,"Owlstreet,
","Social enterprise, charity, foundation or other non-profit","26-50 people",,,,,1970-01-01
514,"Malaria spot",,,,,,,,",
",,,,,,,1970-01-01
289,MalariaSpot,,,,Spain,Madrid,40.4167047,-3.7035824,"Avenida Complutense n 30,
28040","Academia/Research organisation","0-5 people",,193,,,1970-01-01
322,"Manager Non Profit",,,,Italy,Milano,45.4667971,9.1904984,"Piazzale Giovanni dalle Bande Nere, 9,
20146","Grassroots organisation or community network","11-25 people",,,,,1970-01-01
527,"Manchester Advice Alliance",,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"Swan Street,
M4 5JW","Social enterprise, charity, foundation or other non-profit","0-5 people",,326,,,1970-01-01
657,"Manchester City Council",,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"Albert Square,
M2 5DB",,,,241,,,1970-01-01
457,"Manchester Digital Development Agency",,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"7th Floor, Town Hall Extension, Albert Square,
M60 2LA",,,,472,,,1970-01-01
1168,"Map Kibera Trust",,,,Kenya,Nairobi,-1.2832532,36.8172449,"Jaami Plaza, Karanja Road,
","Social enterprise, charity, foundation or other non-profit","0-5 people",,546,,,1970-01-01
228,MappiNa,,,,Italy,Napoli,40.8359336,14.2487826,"Via del Parco Margherita 28,
80121","Grassroots organisation or community network","0-5 people",,96,,,1970-01-01
606,"Maribor Development Agency",,,,Slovenia,Maribor,46.555628,15.64477,"Pobreska cesta 20,
2000","Government/Public Sector","11-25 people",,157,,,1970-01-01
415,"martin pot interiors",,,,Netherlands,Rotterdam,51.9277981,4.4886233,"Mathenesserlaan 361b,
3023 GC","Academia/Research organisation","0-5 people",,401,,,1970-01-01
362,Mashauri,,,,"United Kingdom",Addlestone,51.3710908,-0.4895674,"68 Crockford Park Road,
KT152LU","For-profit business","0-5 people",,302,,,1970-01-01
197,Matemaatik,,,,Estonia,Tartu,58.3727059,26.7237528,"Kroonuaia 58-5,
51008","For-profit business","0-5 people",,123,,,1970-01-01
1019,Mathema,,,,Italy,Florence,43.7698712,11.2555757,"via Torcicoda 29,
50142","For-profit business","11-25 people",,,,,1970-01-01
23,"Matinale Digitale",,,,France,Nantes,47.2186371,-1.5541361,"12 rue Coquebert de Neuville,
44000","Grassroots organisation or community network","11-25 people",,"387, 577",,,1970-01-01
647,MDDA,,,,,,,,",
",,,,134,,,1970-01-01
970,"Medecins Sans Frontieres",,,,,,,,",
",,,,,,,1970-01-01
822,Medhance,,,,"United Kingdom",London,51.5073219,-0.1276473,"Clapham High Street,
SW4","For-profit business","0-5 people",,469,,,1970-01-01
1018,"Media Innovation Studio",,,,"United Kingdom",Preston,53.7589938,-2.7051617,"Media Factory, ME414,
PR12HE",,,,,,,1970-01-01
978,"Medialab Session",,,,France,Nantes,47.2186371,-1.5541361,"8 Quai Henri Barbusse,
44000","Grassroots organisation or community network","6-10 people",,447,,,1970-01-01
706,"Medialab UGR",,,,Spain,Granada,37.1830197,-3.6021919," Gran Via, 48, 4 planta despacho 1,
18071","Academia/Research organisation","6-10 people",,404,,,1970-01-01
771,MediaPoint,,,,"Moldova, Republic of",Chisinau,47.0122737,28.8605936,"22, Puskin street, of. 534,
","Grassroots organisation or community network","26-50 people",,,,,1970-01-01
138,Mediawijzer.net,,,,Netherlands,Zoetermeer,52.0622892,4.4877546,"Paletsingel 32,
2718NT","Government/Public Sector","0-5 people",,22,,,1970-01-01
817,meetup.by,,,,Belarus,Minsk,53.902334,27.5618791,"russiyanova 9,
220001","Grassroots organisation or community network","6-10 people",,,,,1970-01-01
15,"Melbourne Social Equity Institute",,,,Australia,Parkville,-31.9821789,150.867003,"Swanston Street,
3052","Academia/Research organisation","0-5 people",,727,,,1970-01-01
638,"MENON Network",,,,Belgium,Brussels,50.8465565,4.351697,"Rue des Deux Eglises 35,
1000","Academia/Research organisation","51-100 people",,,,,1970-01-01
1093,Metamatter,,,,Netherlands,"Den Horn",53.2279231,6.4558665,"Weersterweg 12,
9832 TE","For-profit business","0-5 people",,94,,,1970-01-01
40,Metro4All,,,,"Russian Federation",Moscow,55.7506828,37.6174976,"Vavilova str., 41,
117312","Grassroots organisation or community network","6-10 people",,403,,,1970-01-01
310,Microgenius,,,,"United Kingdom",Manchester,53.4791301,-2.2441008,"Hanover Street,
M60 0AS","Social enterprise, charity, foundation or other non-profit","0-5 people",,"110, 568",,,1970-01-01
487,mijnbuurtje.nl,,,,Netherlands,Nijmegen,51.842602,5.8385196,"Professor Cornelissenstraat 2,
6524PJ","Social enterprise, charity, foundation or other non-profit","6-10 people",,61,,,1970-01-01
977,"Mind Waves",,,,"United Kingdom",Glasgow,55.856656,-4.2435816,"William Street Clinic, 120 William Street,,
G3 8UR","Grassroots organisation or community network","0-5 people",,715,,,1970-01-01
668,Mindflood,,,,,,,,",
",,,,,,,1970-01-01
1059,"Ministerie van Binnenlandse Zaken",,,,Netherlands,"Den Haag",52.0749456,4.2696803,"Turfmarkt 147,
2511DP","Government/Public Sector","over-1000 people",,327,,,1970-01-01
59,"MINISTERIO DE EDUCACION DEL PERU",,,,Peru,"LIMA, LIMA, SAN BORJA",-12.087463,-77.0047869,"CALLE EL COMERCIO 193.,
","Government/Public Sector","over-1000 people",,,,,1970-01-01
933,"Ministry of Justice Digital Services",,,,"United Kingdom",London,51.5073219,-0.1276473,"102 Petty France,
SW1H 9AJ","Government/Public Sector","101-500 people",,"167, 373",,,1970-01-01
947,MobyPark,,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Rokin 75,
1012KL","For-profit business","6-10 people",,,,,1970-01-01
128,"MODUL University Vienna, Department of New Media Technology",,,,Austria,Vienna,48.2083537,16.3725042,"Am Kahlenberg 1,
1190","Academia/Research organisation","51-100 people",,"335, 343",,,1970-01-01
962,"MONEO Institute",,,,Slovenia,Grosuplje,45.9569101,14.655182,"Zalna 70,
1290","Social enterprise, charity, foundation or other non-profit","0-5 people",,,,,1970-01-01
922,MOOVZ,,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Buiksloterdijk 210,
1025 WD","For-profit business","0-5 people",,,,,1970-01-01
18,"more onion",,,,Austria,Vienna,48.2083537,16.3725042,"YURP,
1140","For-profit business","6-10 people",,206,,,1970-01-01
436,Morgengrun,,,,Germany,Berlin,52.5170365,13.3888599,"Marienburger Strasse,
10405","Grassroots organisation or community network","0-5 people",,581,,,1970-01-01
779,motiroti,,,,"United Kingdom",Greenwich,52.0367323,1.168934,"70 Royal Hill,
SE10 8RF","Social enterprise, charity, foundation or other non-profit","0-5 people",,3,,,1970-01-01
637,"MOVImenti ltd",,,,"United Kingdom",London,51.5073219,-0.1276473,"119 Newington Causew,
SE1 6BB","For-profit business","0-5 people",,"414, 637",,,1970-01-01
713,"Movimiento Idun",,,,Spain,SEvilla,37.3886303,-5.995317,"Sevilla,
41006","Social enterprise, charity, foundation or other non-profit","0-5 people",,"137, 693",,,1970-01-01
270,Mozilla,,,,"United Kingdom",London,51.5073219,-0.1276473,"101 St. Martin's Lane,
WC2N 4AZ",,,,297,,,1970-01-01
747,mPowered,,,,"United States",Pottstown,40.2452976,-75.6496423,"52 Masters Drive,
19464","For-profit business","0-5 people",,,,,1970-01-01
733,MrCrowdfunding,,,,France,Paris,48.8566101,2.3514992,"23 rue Lepic,
",,,,,,,1970-01-01
164,MSU,,,,"United States","East Lansing",42.7355416,-84.4852468,"404 Wilson Rd.,
48823",,,,,,,1970-01-01
499,Municipality,,,,Denmark,Ballerup,55.7303589,12.3612313,"Hold an vej 7,
2750",,,,,,,1970-01-01
65,"municipality of Eindhoven",,,,Netherlands,eindhoven,51.448557,5.4501225,"stadhuisplein 1,
5600 hk","Government/Public Sector","over-1000 people",,111,,,1970-01-01
746,"Museo dell'Informatica Funzionante",,,,Italy,"Palazzolo Acreide",37.0619128,14.9039095,"Via Carnevale 17,
96010","Grassroots organisation or community network","0-5 people",,309,,,1970-01-01
451,"Museo della Scienza e della Tecnologia Leonardo da Vinci Milano",,,,,,,,",
",,,,,,,1970-01-01
586,"Museo Storico Italiano della Guerra",,,,Italy,Rovereto,45.8915375,11.0384953,"via Castelbarco 7,
38068","Social enterprise, charity, foundation or other non-profit","11-25 people",,445,,,1970-01-01
742,"Museomix association",,,,France,Saint-Clement-les-Places,45.7520885,4.4240505,"Erasme ZI activites innovantes,
69930","Grassroots organisation or community network","101-500 people",,312,,,1970-01-01
